model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
gpt2-small,das,2,1,0.9666666666666667,0.8039647857250172,0.75,0.6071428656578064,80.39647857250172,75.0,60.71428656578064,0.0,1.0,0.75,0.8179611650485437,0.21779142139058386,0.26428573344435125,0.0,21.779142139058386,26.428573344435126,0.0,0.3444444537162781,0.6555555462837219,0.4266666769981384,30,1236,450
gpt2-small,das2d,2,2,,0.8094713723188264,0.7857142686843872,0.6071428656578064,80.94713723188264,78.57142686843872,60.71428656578064,0.0,1.0,0.7857142686843872,,0.19631902193824816,0.21428571428571427,0.0,19.631902193824814,21.428571428571427,0.0,0.3444444537162781,0.6555555462837219,0.41111111640930176,30,1236,450
gpt2-small,das3d,2,3,,0.7433920758691146,0.7142857313156128,0.5714285969734192,74.33920758691146,71.42857313156128,57.14285969734192,0.0,1.0,0.7142857313156128,,0.13496933272481745,0.19285716201577982,0.0,13.496933272481746,19.285716201577983,0.0,0.3444444537162781,0.6555555462837219,0.40444445610046387,30,1236,450
gpt2-small,random,2,1,0.7333333333333333,0.01431721336927586,0.0,0.0,1.431721336927586,0.0,0.0,0.0,1.0,0.0,0.8179611650485437,-0.042944798904671413,0.021428552269934467,0.0,-4.294479890467142,2.1428552269934467,0.0,0.3444444537162781,0.6555555462837219,0.35111111402511597,30,1236,450
gpt2-small,mean_diff,3,1,1.0,0.6883260077478787,0.8214285969734192,0.5357142686843872,68.83260077478786,82.14285969734192,53.57142686843872,0.0,1.0,0.8214285969734192,0.8179611650485437,0.3067484666362409,0.32857139025415466,0.0,30.674846663624088,32.857139025415464,0.0,0.3444444537162781,0.6555555462837219,0.4466666579246521,30,1236,450
gpt2-small,kmeans,3,1,0.8666666666666667,0.500000026278065,0.5,0.3571428656578064,50.000002627806495,50.0,35.71428656578064,0.0,1.0,0.5,0.8179611650485437,0.15644171160806575,0.1285714094127916,0.0,15.644171160806575,12.85714094127916,0.0,0.3444444537162781,0.6555555462837219,0.3844444453716278,30,1236,450
gpt2-small,logistic_regression,3,1,1.0,0.689427336094812,0.8928571343421936,0.5357142686843872,68.9427336094812,89.28571343421936,53.57142686843872,0.0,1.0,0.8928571343421936,0.8179611650485437,0.34049079981744523,0.39999996168272606,0.0,34.049079981744526,39.9999961682726,0.0,0.3444444537162781,0.6555555462837219,0.46888887882232666,30,1236,450
gpt2-small,pca,3,1,0.8,0.3237885856881022,0.2857142984867096,0.2142857164144516,32.37885856881022,28.57142984867096,21.42857164144516,0.0,1.0,0.2857142984867096,0.8179611650485437,0.033742353750291776,0.13571422823837484,0.0,3.3742353750291776,13.571422823837484,0.0,0.3444444537162781,0.6555555462837219,0.3866666555404663,30,1236,450
gpt2-small,das,3,1,1.0,0.8568281603918148,0.7857142686843872,0.6428571343421936,85.68281603918147,78.57142686843872,64.28571343421936,0.0,1.0,0.7857142686843872,0.8179611650485437,0.1411043098737955,0.14285714285714285,0.0,14.11043098737955,14.285714285714285,0.0,0.3444444537162781,0.6555555462837219,0.3888888955116272,30,1236,450
gpt2-small,das2d,3,2,,0.8766519971154715,0.8214285969734192,0.6428571343421936,87.66519971154715,82.14285969734192,64.28571343421936,0.0,1.0,0.8214285969734192,,0.18404908820937949,0.20714279966694626,0.0,18.404908820937948,20.714279966694626,0.0,0.3444444537162781,0.6555555462837219,0.40888887643814087,30,1236,450
gpt2-small,das3d,3,3,,0.8469163339314156,0.75,0.6071428656578064,84.69163339314156,75.0,60.71428656578064,0.0,1.0,0.75,,0.18404908820937949,0.21428571428571427,0.0,18.404908820937948,21.428571428571427,0.0,0.3444444537162781,0.6555555462837219,0.41111111640930176,30,1236,450
