model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das2d,0,2,0,64,0.001,128,25,0.19686411321163177,0.18466901779174805
gpt2-small,das2d,0,2,0,64,0.001,128,26,0.18466901779174805,0.16608595848083496
gpt2-small,das2d,0,2,0,64,0.001,128,27,0.16608595848083496,0.149825781583786
gpt2-small,das2d,0,2,0,64,0.001,128,28,0.149825781583786,0.14053426682949066
gpt2-small,das2d,0,2,0,64,0.001,128,29,0.14053426682949066,0.13182349503040314
gpt2-small,das2d,0,2,0,64,0.001,128,30,0.13182349503040314,0.12717774510383606
gpt2-small,das2d,0,2,0,64,0.001,128,31,0.12717774510383606,0.10859468579292297
gpt2-small,das2d,0,2,0,64,0.001,128,32,0.10859468579292297,0.10975611209869385
gpt2-small,das2d,0,2,0,64,0.001,128,33,0.10975611209869385,0.1004645973443985
gpt2-small,das2d,0,2,0,64,0.001,128,34,0.1004645973443985,0.09581883996725082
gpt2-small,das2d,0,2,0,64,0.001,128,35,0.09581883996725082,0.09756097197532654
gpt2-small,das2d,0,2,0,64,0.001,128,36,0.09756097197532654,0.09872239828109741
gpt2-small,das2d,0,2,0,64,0.001,128,37,0.09872239828109741,0.10162601619958878
gpt2-small,das2d,0,2,0,64,0.001,128,38,0.10162601619958878,0.09233453869819641
gpt2-small,das2d,0,2,0,64,0.001,128,39,0.09233453869819641,0.08826953172683716
gpt2-small,das2d,0,2,0,64,0.001,128,40,0.08826953172683716,0.09059237688779831
gpt2-small,das2d,0,2,0,64,0.001,128,41,0.09059237688779831,0.08304299414157867
gpt2-small,das2d,0,2,0,64,0.001,128,42,0.08304299414157867,0.08130079507827759
gpt2-small,das2d,0,2,0,64,0.001,128,43,0.08130079507827759,0.07897794991731644
gpt2-small,das2d,0,2,0,64,0.001,128,44,0.07897794991731644,0.08362370729446411
gpt2-small,das2d,0,2,0,64,0.001,128,45,0.08362370729446411,0.07723578065633774
