model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
qwen-0.6b,mean_diff,0,sst,sst-8825,sst-208,0,1,-0.5,2.0,2.0,0.5,-2.0,-2.0,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-168,sst-7912,1,0,1.125,-1.0,-1.0,1.125,-1.0,-1.0,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-7912,sst-168,0,1,-1.0,1.125,1.25,1.0,-1.125,-1.25,-0.058823529411764705,-5.882352941176471,0.0
qwen-0.6b,mean_diff,0,sst,sst-492,sst-8666,1,0,2.0,-0.875,-0.75,2.0,-0.875,-0.75,0.043478260869565216,4.3478260869565215,0.0
qwen-0.6b,mean_diff,0,sst,sst-8666,sst-492,0,1,-0.875,2.0,1.875,0.875,-2.0,-1.875,0.043478260869565216,4.3478260869565215,0.0
qwen-0.6b,mean_diff,0,sst,sst-315,sst-8751,1,0,2.625,-3.625,-3.125,2.625,-3.625,-3.125,0.08,8.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8751,sst-315,0,1,-3.625,2.625,2.5,3.625,-2.625,-2.5,0.02,2.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-971,sst-9008,1,0,2.125,-1.75,-1.625,2.125,-1.75,-1.625,0.03225806451612903,3.225806451612903,0.0
qwen-0.6b,mean_diff,0,sst,sst-9008,sst-971,0,1,-1.75,2.125,2.125,1.75,-2.125,-2.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-19,sst-8564,1,0,2.125,-2.5,-1.625,2.125,-2.5,-1.625,0.1891891891891892,18.91891891891892,0.0
qwen-0.6b,mean_diff,0,sst,sst-8564,sst-19,0,1,-2.5,2.125,0.5,2.5,-2.125,-0.5,0.35135135135135137,35.13513513513514,0.0
qwen-0.6b,mean_diff,0,sst,sst-265,sst-8347,1,0,1.375,-0.875,-0.75,1.375,-0.875,-0.75,0.05555555555555555,5.555555555555555,0.0
qwen-0.6b,mean_diff,0,sst,sst-8347,sst-265,0,1,-0.875,1.375,1.375,0.875,-1.375,-1.375,0.0,0.0,0.0
