model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
qwen-0.6b,mean_diff,5,1,0.8333333333333334,0.7251232560863811,0.8214285969734192,0.7142857313156128,72.51232560863811,82.14285969734192,71.42857313156128,0.0,1.0,0.8214285969734192,0.1820388349514563,0.10559484593013513,0.07211538390810988,0.06531531363725662,10.559484593013513,7.211538390810988,6.531531363725662,0.03153153136372566,0.9684684872627258,0.09909909963607788,30,1236,444
qwen-0.6b,kmeans,5,1,0.6,0.10697781801764923,0.0357142873108387,0.0357142873108387,10.697781801764924,3.57142873108387,3.57142873108387,0.0,1.0,0.0357142873108387,0.1820388349514563,0.03189363840872844,0.012019231314023467,0.01576576568186283,3.1893638408728444,1.2019231314023466,1.5765765681862831,0.03153153136372566,0.9684684872627258,0.04279279336333275,30,1236,444
qwen-0.6b,logistic_regression,5,1,1.0,0.7995995513981912,0.9642857313156128,0.9285714030265808,79.95995513981912,96.42857313156128,92.85714030265808,0.0,1.0,0.9642857313156128,0.1820388349514563,0.11262682684513352,0.06730769456332523,0.06756756454706192,11.262682684513353,6.730769456332523,6.756756454706192,0.03153153136372566,0.9684684872627258,0.09459459781646729,30,1236,444
qwen-0.6b,pca,5,1,0.6,0.10358903658376872,0.0357142873108387,0.0357142873108387,10.358903658376873,3.57142873108387,3.57142873108387,0.0,1.0,0.0357142873108387,0.1820388349514563,0.032201058968971255,0.012019231314023467,0.01576576568186283,3.2201058968971257,1.2019231314023466,1.5765765681862831,0.03153153136372566,0.9684684872627258,0.04279279336333275,30,1236,444
qwen-0.6b,das,5,1,0.9666666666666667,0.8548213506557095,0.9285714030265808,0.8571428656578064,85.48213506557096,92.85714030265808,85.71428656578064,0.0,1.0,0.9285714030265808,0.8179611650485437,0.10555641429240391,0.06009615259408642,0.07657657563686371,10.55564142924039,6.009615259408642,7.657657563686371,0.03153153136372566,0.9684684872627258,0.0878378376364708,30,1236,444
qwen-0.6b,das2d,5,2,,0.8307147619050753,0.8928571343421936,0.8214285969734192,83.07147619050752,89.28571343421936,82.14285969734192,0.0,1.0,0.8928571343421936,,0.09552722121686735,0.06730769456332523,0.06981982290744781,9.552722121686735,6.730769456332523,6.9819822907447815,0.03153153136372566,0.9684684872627258,0.09459459781646729,30,1236,444
qwen-0.6b,das3d,5,3,,0.7978280999197762,0.8571428656578064,0.6785714030265808,79.78280999197762,85.71428656578064,67.85714030265808,0.0,1.0,0.8571428656578064,,0.09233785086767314,0.06490384193887108,0.07207207381725311,9.233785086767314,6.490384193887108,7.207207381725311,0.03153153136372566,0.9684684872627258,0.09234233945608139,30,1236,444
qwen-0.6b,random,5,1,0.36666666666666664,-7.699906350711649e-05,0.0,0.0,-0.007699906350711649,0.0,0.0,0.0,1.0,0.0,0.8179611650485437,-0.000422682931829564,0.002403844672392329,0.0,-0.0422682931829564,0.2403844672392329,0.0,0.03153153136372566,0.9684684872627258,0.03378378227353096,30,1236,444
qwen-0.6b,mean_diff,6,1,0.9,0.7623228733615488,0.8214285969734192,0.7857142686843872,76.23228733615488,82.14285969734192,78.57142686843872,0.0,1.0,0.8214285969734192,0.1820388349514563,0.1472102893957642,0.09134614923931034,0.10135135054588318,14.721028939576419,9.134614923931034,10.135135054588318,0.03153153136372566,0.9684684872627258,0.11711711436510086,30,1236,444
qwen-0.6b,kmeans,6,1,0.7333333333333333,0.12446088315951508,0.0357142873108387,0.0714285746216774,12.446088315951508,3.57142873108387,7.14285746216774,0.0,1.0,0.0357142873108387,0.1820388349514563,0.03389179069628951,0.02163461397962369,0.022522522136569023,3.389179069628951,2.163461397962369,2.2522522136569023,0.03153153136372566,0.9684684872627258,0.05180180072784424,30,1236,444
qwen-0.6b,logistic_regression,6,1,1.0,0.7913585950040112,0.9285714030265808,0.8928571343421936,79.13585950040112,92.85714030265808,89.28571343421936,0.0,1.0,0.9285714030265808,0.1820388349514563,0.16004456898478972,0.09855769120854915,0.10585585236549377,16.00445689847897,9.855769120854916,10.585585236549377,0.03153153136372566,0.9684684872627258,0.12387387454509735,30,1236,444
qwen-0.6b,pca,6,1,0.7333333333333333,0.16435612576908573,0.0714285746216774,0.0714285746216774,16.43561257690857,7.14285746216774,7.14285746216774,0.0,1.0,0.0714285746216774,0.1820388349514563,0.04707195502489596,0.02884615197283159,0.02477477490901947,4.707195502489596,2.884615197283159,2.477477490901947,0.03153153136372566,0.9684684872627258,0.05855855718255043,30,1236,444
