model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,8,kmeans,random,0.013134938
qwen-0.6b,8,logistic_regression,mean_diff,0.90616876
qwen-0.6b,8,logistic_regression,kmeans,0.49809808
qwen-0.6b,8,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,8,logistic_regression,pca,0.5387933
qwen-0.6b,8,logistic_regression,das,0.7692033
qwen-0.6b,8,logistic_regression,random,0.031923294
qwen-0.6b,8,pca,mean_diff,0.8135445
qwen-0.6b,8,pca,kmeans,0.9894053
qwen-0.6b,8,pca,logistic_regression,0.5387933
qwen-0.6b,8,pca,pca,1.0000002
qwen-0.6b,8,pca,das,0.6030786
qwen-0.6b,8,pca,random,0.022002928
qwen-0.6b,8,das,mean_diff,0.81108606
qwen-0.6b,8,das,kmeans,0.5676117
qwen-0.6b,8,das,logistic_regression,0.7692033
qwen-0.6b,8,das,pca,0.6030786
qwen-0.6b,8,das,das,1.0000002
qwen-0.6b,8,das,random,0.04866974
qwen-0.6b,8,random,mean_diff,0.03203926
qwen-0.6b,8,random,kmeans,0.013134938
qwen-0.6b,8,random,logistic_regression,0.031923294
qwen-0.6b,8,random,pca,0.022002928
qwen-0.6b,8,random,das,0.04866974
qwen-0.6b,8,random,random,0.9999999
qwen-0.6b,9,mean_diff,mean_diff,1.0000002
qwen-0.6b,9,mean_diff,kmeans,0.91372854
qwen-0.6b,9,mean_diff,logistic_regression,0.89482945
qwen-0.6b,9,mean_diff,pca,0.8915063
qwen-0.6b,9,mean_diff,das,0.80685395
qwen-0.6b,9,mean_diff,random,0.017680945
qwen-0.6b,9,kmeans,mean_diff,0.91372854
qwen-0.6b,9,kmeans,kmeans,1.0000001
qwen-0.6b,9,kmeans,logistic_regression,0.69709194
qwen-0.6b,9,kmeans,pca,0.9679049
qwen-0.6b,9,kmeans,das,0.7173623
qwen-0.6b,9,kmeans,random,0.015154112
qwen-0.6b,9,logistic_regression,mean_diff,0.89482945
qwen-0.6b,9,logistic_regression,kmeans,0.69709194
qwen-0.6b,9,logistic_regression,logistic_regression,1.0000001
qwen-0.6b,9,logistic_regression,pca,0.6396913
qwen-0.6b,9,logistic_regression,das,0.750588
qwen-0.6b,9,logistic_regression,random,0.013977137
qwen-0.6b,9,pca,mean_diff,0.8915063
qwen-0.6b,9,pca,kmeans,0.9679049
qwen-0.6b,9,pca,logistic_regression,0.6396913
qwen-0.6b,9,pca,pca,1.0
qwen-0.6b,9,pca,das,0.6778985
qwen-0.6b,9,pca,random,0.0151325455
qwen-0.6b,9,das,mean_diff,0.80685395
qwen-0.6b,9,das,kmeans,0.7173623
qwen-0.6b,9,das,logistic_regression,0.750588
qwen-0.6b,9,das,pca,0.6778985
qwen-0.6b,9,das,das,0.99999994
qwen-0.6b,9,das,random,0.017380407
qwen-0.6b,9,random,mean_diff,0.017680945
qwen-0.6b,9,random,kmeans,0.015154112
qwen-0.6b,9,random,logistic_regression,0.013977137
qwen-0.6b,9,random,pca,0.0151325455
qwen-0.6b,9,random,das,0.017380407
qwen-0.6b,9,random,random,1.0000001
qwen-0.6b,10,mean_diff,mean_diff,1.0000006
qwen-0.6b,10,mean_diff,kmeans,0.9931587
qwen-0.6b,10,mean_diff,logistic_regression,0.92516184
qwen-0.6b,10,mean_diff,pca,0.9277788
qwen-0.6b,10,mean_diff,das,0.73574066
qwen-0.6b,10,mean_diff,random,0.057364225
qwen-0.6b,10,kmeans,mean_diff,0.9931587
